,Word,Raw Slope,Old Percentage,Percentage Slope,Magnitude of Derivative
27,called,2596.0985915492956,0.00091146452076674,1.5826739877620102e-06,-6
28,between,2611.8169014084506,0.0009596548231518329,1.0425201406213092e-06,-6
29,childhood,1321.2676056338028,0.00036434515760814374,2.087841035785119e-06,-6
30,coming,2386.507042253521,0.0007723684170035252,2.2988662752518105e-06,-6
31,combined,1735.112676056338,0.0007139504599299606,-2.919502434666328e-07,negative -7
32,being,2615.8732394366198,0.0009540596944104926,1.1354216133492369e-06,-6
33,curious,1518.4507042253522,0.0004942363721517339,1.426545663970647e-06,-6
34,date,2038.9014084507041,0.0007877098990362328,3.170691674809258e-07,-7
35,bywater,0.5352112676056338,1.2032534927613728e-07,1.1969367847485717e-09,-9
36,character,2107.774647887324,0.0007864464828688333,6.868510765908856e-07,-7
37,became,2369.3098591549297,0.0008345164599046503,1.4099509252828878e-06,-6
38,chief,1742.056338028169,0.0007298935687090487,-4.6170411407600247e-07,negative -7
39,conversation,1752.6478873239437,0.00047961684221468323,2.8169507695541026e-06,-6
40,demand,1849.2676056338028,0.0006803195248072803,7.27236560745533e-07,-7
41,commonly,1444.2957746478874,0.0005420055358143605,4.3052524389809684e-07,-7
42,bush,661.7746478873239,0.0002123742414723823,6.606909320568786e-07,-7
43,before,2631.760563380282,0.0009538792063865783,1.2192916360865664e-06,-6
44,carried,2285.2957746478874,0.000873802686443309,4.7261134107771526e-07,-7
45,by,2676.56338028169,0.0009745150037874359,1.1834018495041822e-06,-6
46,both,2610.676056338028,0.0009544206704583209,1.1040956290345522e-06,-6
47,below,2304.9718309859154,0.0008627327543099043,7.162154680921679e-07,-7
48,declared,1606.7464788732395,0.000516255911069267,1.5960654178400586e-06,-6
49,calling,1966.9014084507041,0.000603912928016933,2.3153542167907237e-06,-6
50,consulting,737.4225352112676,0.000253284860226269,5.219209027311411e-07,-7
51,constantly,1834.8028169014085,0.0006384463032591845,1.1924419894189137e-06,-6
52,beats,598.4084507042254,0.00015624246603506428,1.0585918885981435e-06,-6
53,buckland,0.2112676056338028,3.0081337319034324e-07,-2.790978066108455e-09,negative -9
54,daddy,216.69014084507043,3.200654290745252e-05,6.99867432088743e-07,-7
55,brandywine,0.29577464788732394,3.609760478284119e-07,-3.1322991782809e-09,negative -9
56,dark,2097.5352112676055,0.0006641357653296398,2.210012698149431e-06,-6
57,bad,2300.3380281690143,0.0007075732164183253,2.691337389181846e-06,-6
58,dad,472.9577464788732,4.331712573940942e-05,1.8694980994694816e-06,-6
59,bucks,214.05633802816902,4.073013072997247e-05,5.739637549540542e-07,-7
60,breed,662.1267605633802,0.0002415531386718456,2.865892141442183e-07,-7
61,boats,787.7042253521126,0.0002960605218939358,2.2892670773310804e-07,-7
62,big,2011.7464788732395,0.0006569162443730715,1.8626935832316265e-06,-6
63,came,2428.8591549295775,0.000826514824177787,1.8186837139596616e-06,-6
64,could,2631.0704225352115,0.0009476222882242192,1.2963566444536033e-06,-6
65,decent,973.9577464788732,0.00028944262768374824,1.2701672209279856e-06,-6
66,drogo,0.08450704225352113,6.016267463806864e-08,-3.413211121724452e-10,negative -10
67,drownded,15.985915492957746,2.346344310884677e-06,5.182311844039806e-08,-8
68,darker,737.6056338028169,0.000219112461031846,9.631005171415803e-07,-7
69,cousin,898.3661971830986,0.000255932017910344,1.3138927921997968e-06,-6
70,daughters,1086.6338028169014,0.00032415649094991384,1.401283767791644e-06,-6
71,brandy,361.6478873239437,0.00011172208680289348,4.1692365227936387e-07,-7
72,did,2580.943661971831,0.0009115848461160161,1.5033381931571388e-06,-6
73,boating,123.63380281690141,4.2414685619838393e-05,8.815035950908247e-08,-8
74,child,2149.718309859155,0.0006360397962736617,2.8398104503097772e-06,-6
75,dinner,1482.5915492957747,0.00040417284821854516,2.402771465143778e-06,-6
76,boat,1232.1690140845071,0.00040032243704170875,1.1670330762385894e-06,-6
77,cause,2412.507042253521,0.0008421571195836848,1.5332350523431594e-06,-6
78,couple,1684.112676056338,0.00045374689212031375,2.798460477988728e-06,-6
79,deed,920.6901408450705,0.0002730783801821936,1.207579837686931e-06,-6
80,dead,2135.9014084507044,0.0006747845587405779,2.2697473348761917e-06,-6
81,comes,2445.281690140845,0.0007955310467391817,2.3021367122169985e-06,-6
82,bless,828.1971830985915,0.0001673123981684689,2.095414815778439e-06,-6
83,bit,1849.3098591549297,0.0005171583511888381,2.8294435851493632e-06,-6
84,business,2229.5915492957747,0.0007122659050400947,2.2677617140119253e-06,-6
85,delving,109.7605633802817,3.0562638716138874e-05,1.6963204417595455e-07,-7
86,chests,284.01408450704224,0.00011509119658262531,-2.4951024047622496e-08,negative -8
87,dads,66.19718309859155,4.391875248579011e-06,2.831899333020398e-07,-7
88,bags,851.4084507042254,0.00023667996202616202,1.3208953666004352e-06,-6
89,dont,89.08450704225352,4.494151795463728e-05,-1.2173363564823015e-07,negative -7
90,doubt,2194.605633802817,0.0007884318511318895,1.1069508624761443e-06,-6
91,crazy,889.169014084507,0.00020455309376943336,1.9285963200587915e-06,-6
92,days,2488.521126760563,0.0008621912902381618,1.6652939316785258e-06,-6
93,dragons,175.26760563380282,4.8069977035816845e-05,2.8031440904979257e-07,-7
94,cabbages,109.29577464788733,4.211387224664805e-05,1.8432962724393096e-08,-8
95,betters,113.52112676056338,4.403907783506625e-05,1.5318169172647628e-08,-8
96,convince,1235.1690140845071,0.00035562156978562377,1.7583082607163909e-06,-6
97,common,2446.5774647887324,0.0008784953750650784,1.2399658426695545e-06,-6
98,dwarves,18.577464788732396,8.42277444932961e-07,8.450150736152521e-08,-8
99,conjuror,31.690140845070424,9.385377243538708e-06,4.174493796066809e-08,-8
100,do,2662.9154929577467,0.0009493068431140851,1.4381057635447994e-06,-6
101,disliking,74.67605633802818,3.808297304589745e-05,-1.0732984747913605e-07,negative -7
102,beer,823.7323943661971,0.0002603840558335611,8.734649433904301e-07,-7
103,century,1827.6760563380283,0.0006991504419689957,3.738167449425661e-07,-7
104,died,1984.1408450704225,0.0006280983232214366,2.092260827281899e-06,-6
105,drew,1680.2394366197184,0.0005410429330201513,1.653953579585419e-06,-6
106,doors,1630.9718309859154,0.0004904461236495356,2.0529118774638578e-06,-6
107,driven,1947.9577464788733,0.0005833974559653517,2.4824210577866994e-06,-6
108,beards,192.43661971830986,8.007651994326936e-05,-4.38995528160022e-08,negative -8
109,deep,2322.0281690140846,0.0007634643411570911,2.0826261635627584e-06,-6
110,cart,687.4929577464789,0.00021279538019484877,7.872697208956235e-07,-7
111,direction,2282.6901408450703,0.000833553857110441,9.77759319960271e-07,-7
112,bridge,1418.7323943661972,0.0005057274430076051,7.666834496686761e-07,-7
113,broad,1959.3521126760563,0.000705587848155269,9.667374794853748e-07,-7
114,daylight,844.2816901408451,0.00026688162469447254,8.952306700594519e-07,-7
115,driving,1704.3661971830986,0.000512766475940259,2.14207187339188e-06,-6
116,blue,1854.5633802816901,0.0005673340218369874,2.2099998394778566e-06,-6
117,cloak,641.8450704225352,0.0002100880598361357,5.878511234042802e-07,-7
118,beard,784.5211267605633,0.00021887181033329372,1.2070037852636764e-06,-6
119,bushy,229.49295774647888,7.014967862798804e-05,2.741859534588906e-07,-7
120,beyond,2449.0,0.000842217282258323,1.719767259635086e-06,-6
121,brim,314.76056338028167,9.078547602884558e-05,4.459896473813373e-07,-7
122,children,2323.9295774647885,0.0007128073691118373,2.744994552326101e-06,-6
123,cargo,465.056338028169,0.00018415794706712812,1.4503430265010122e-08,-8
124,door,2093.43661971831,0.0006112527743227775,2.8702625019918083e-06,-6
125,bundles,371.49295774647885,0.0001623790588481473,-1.8515362519229057e-07,negative -7
126,due,2301.9014084507044,0.0008899262832463114,3.5012422936546073e-07,-7
127,difficult,2450.5915492957747,0.0008741034998164994,1.3171490386110088e-06,-6
128,dangerous,1881.6338028169014,0.0006176901805090508,1.7002104175052994e-06,-6
129,displays,822.8028169014085,0.00022801653687828016,1.28568142584511e-06,-6
130,belonged,1354.4225352112676,0.0004760070817363991,8.194850955215687e-07,-7
131,cracker,104.47887323943662,3.8323623744449725e-05,4.253868680384807e-08,-8
132,dis,494.01408450704224,0.00024059053587763653,-5.638810122020457e-07,negative -7
133,disappeared,1478.8309859154929,0.0005357486176520013,6.883912946398578e-07,-7
134,bright,1802.0,0.0005640250747318935,1.9828368164574973e-06,-6
135,dear,1497.3521126760563,0.0004090460248642287,2.4157522782543696e-06,-6
136,changed,2368.394366197183,0.0008148432652980018,1.6586999051267511e-06,-6
137,best,2592.943661971831,0.0009145929798479195,1.5261770457415786e-06,-6
138,carts,355.88732394366195,0.0001333204869979601,1.0910625761305061e-07,-7
139,dealing,1603.718309859155,0.0006620300717173073,-2.974721416136169e-07,negative -7
140,commodity,476.22535211267603,0.00018500022451206107,6.0979608442568e-08,-8
141,calendar,587.4647887323944,0.00023397264166744898,1.0308051883389642e-09,-9
142,blocked,766.5352112676056,0.0002820426187032658,3.008639193325638e-07,-7
143,constant,2029.8591549295775,0.0007692399579223457,5.086045493375654e-07,-7
144,carrying,1971.5070422535211,0.0007398805726989682,5.873350791527735e-07,-7
145,certainly,2164.281690140845,0.0007535976625164478,1.4000728583860083e-06,-6
146,busy,1697.3521126760563,0.000518000628633771,2.038639606276133e-06,-6
147,covered,2183.56338028169,0.0007725489050274395,1.2548928363694689e-06,-6
148,cut,2319.6901408450703,0.0008209798581110847,1.3296587452616844e-06,-6
149,bank,1570.0704225352113,0.000506569720452538,1.5326046393269326e-06,-6
150,built,2188.43661971831,0.0007806107034289407,1.1760463001781756e-06,-6
151,branches,1484.5915492957747,0.0005676949978848158,3.0639628760503666e-07,-7
152,corner,1781.661971830986,0.0005864055896972551,1.590121807443671e-06,-6
153,draught,436.1830985915493,0.00011984404787903274,6.948558067036568e-07,-7
154,cooks,321.88732394366195,0.00011262452692246451,2.012186950779597e-07,-7
155,clouded,438.056338028169,0.0001339221137443408,5.231041695107744e-07,-7
156,dawned,473.9718309859155,0.00012231071753919355,8.570360274569241e-07,-7
157,clouds,1262.2394366197184,0.0003676541047132375,1.742238501534421e-06,-6
158,borders,950.7183098591549,0.0003038816695968847,9.648694179258756e-07,-7
159,birthdays,153.0,4.103094410316281e-05,2.5670475036653973e-07,-7
160,chance,2189.6197183098593,0.0007190041245995583,1.9757905832209956e-06,-6
161,beautiful,1934.2112676056338,0.0005566250657514111,2.7567707542959114e-06,-6
162,cal,153.22535211267606,0.00010263752293254511,-5.358103826413033e-07,negative -7
163,dale,125.52112676056338,3.417239919442299e-05,2.04022026211067e-07,-7
164,dances,494.76056338028167,0.0002210376666202642,-3.0815177554545417e-07,negative -7
165,drink,1695.661971830986,0.00045910137016310184,2.788758268105409e-06,-6
166,chiefly,933.9577464788732,0.0005377941485896956,-2.134630071775727e-06,negative -6
167,down,2618.9295774647885,0.0009105019179725308,1.7122596316572875e-06,-6
168,drinking,1406.1408450704225,0.00041295659871570323,1.8972129645617868e-06,-6
169,continuously,812.7323943661971,0.00042962165959044816,-1.363266949826868e-06,negative -6
170,designed,1709.112676056338,0.0006854333521515161,-5.801711894784409e-08,negative -8
171,distribution,1168.1408450704225,0.0005928429958835284,-1.6418284500183651e-06,negative -6
172,crackers,196.22535211267606,5.534966066702315e-05,2.9410067774343503e-07,-7
173,birds,1323.9295774647887,0.0004178899380360248,1.4116917276500878e-06,-6
174,dropped,1705.4788732394366,0.0006037926026676569,9.751018190275819e-07,-7
175,disappearing,589.7323943661971,0.00019661162071720834,4.939882777069004e-07,-7
176,butterflies,311.53521126760563,8.789766764621829e-05,4.666382592862497e-07,-7
177,coloured,630.3943661971831,0.00022855800095002276,2.911316085387574e-07,-7
178,distance,2187.9859154929577,0.0007402415487467966,1.6938050188427831e-06,-6
179,dragon,361.59154929577466,0.0001024570349086309,5.359952838756891e-07,-7
180,crowd,1527.3661971830986,0.0004378037833412255,2.199321950878176e-06,-6
181,ducked,224.46478873239437,5.360494310251916e-05,4.6152216925853807e-07,-7
182,burst,1386.3098591549297,0.0004017061785583844,1.9403646434380057e-06,-6
183,deafening,276.3943661971831,6.305048302069594e-05,6.063749231075238e-07,-7
184,dozen,1392.5352112676057,0.0004924314919125918,8.035117542720231e-07,-7
185,considered,2320.394366197183,0.0008864368481173034,4.899970359523933e-07,-7
186,bringing,2188.7042253521126,0.0006934349878783792,2.300496434263408e-06,-6
187,boffins,4.140845070422535,4.211387224664805e-07,1.5828210302929517e-08,-8
188,chubbs,0.04225352112676056,1.2032534927613728e-07,-1.3332657274926273e-09,negative -9
189,connexions,65.56338028169014,3.657890617994574e-05,-1.3472569534865003e-07,negative -7
190,distantly,115.94366197183099,5.216103891120551e-05,-7.688215819377205e-08,negative -8
191,connected,1949.8309859154929,0.0006831471705152695,1.2069695778720042e-06,-6
192,corners,1076.5915492957747,0.0003889516915351138,5.14989414972474e-07,-7
193,disliked,492.98591549295776,0.000239266957035599,-5.521067492136164e-07,negative -7
194,detested,268.09859154929575,9.42147484832155e-05,1.6230891020917676e-07,-7
195,card,1194.112676056338,0.0003780020847509853,1.2592524546880856e-06,-6
196,besides,1608.5774647887324,0.000564386050779722,9.854072214687764e-07,-7
197,dreaded,705.0704225352113,0.00017946525844535877,1.306878356638208e-06,-6
198,drag,953.830985915493,0.00027813204485179133,1.3125758484111314e-06,-6
199,bits,924.5915492957746,0.00030255809075484724,8.478202272910527e-07,-7
200,disappointed,1218.3661971830986,0.00035062806779066405,1.7363953202836296e-06,-6
201,district,1083.1971830985915,0.0004663208911196701,-4.478460383159182e-07,negative -7
202,catering,193.57746478873239,6.90667504845028e-05,1.0379388962390875e-07,-7
203,depleted,271.46478873239437,0.0001342830897921692,-3.3661011731167704e-07,negative -7
204,cellars,189.22535211267606,7.815131435485117e-05,-3.557977123907502e-08,negative -8
205,company,2088.1408450704225,0.0006349568681301765,2.5377032728375545e-06,-6
206,delightful,864.0422535211268,0.00027374016960321235,9.08297652023262e-07,-7
207,drinks,795.7183098591549,0.0002292799530456796,1.1303883982728544e-06,-6
208,dainties,92.29577464788733,1.63040848269166e-05,2.636822008244784e-07,-7
209,cheer,805.5492957746479,0.00019197909477007704,1.6613913363649592e-06,-6
210,chorus,636.5633802816901,0.00021309619356803911,5.21988305059578e-07,-7
211,chair,1559.5070422535211,0.00042384604282519355,2.54410742118716e-06,-6
212,beaming,359.19718309859155,7.754968760847049e-05,8.445847561243997e-07,-7
213,buttons,605.5774647887324,0.00017549452191924624,8.473658257094663e-07,-7
214,books,2379.225352112676,0.0007404821994453489,2.6722787301345854e-06,-6
215,bodies,1842.8309859154929,0.0006270755577525895,1.3801363962154767e-06,-6
216,doing,2401.450704225352,0.0007742334599173053,2.3515403835804928e-06,-6
217,deaf,721.8732394366198,0.00022506856582101478,8.056189699380886e-07,-7
218,cheers,384.7464788732394,0.00011190257482680768,5.331565025101388e-07,-7
219,cries,1005.4366197183099,0.0002941353163055176,1.3712832552965408e-06,-6
220,dreds,7.802816901408451,4.5122005978551485e-06,-1.8080767376559558e-08,negative -8
221,bore,1361.4366197183099,0.0004926119799365061,6.415669111569643e-07,-7
222,convey,1182.0422535211267,0.00036434515760814374,1.3732395548278537e-06,-6
223,contained,1917.4929577464789,0.0007303748701061534,4.3255825336629587e-07,-7
224,bells,746.9295774647887,0.0002333108522464302,8.280409434051729e-07,-7
225,dance,1268.4507042253522,0.0003709630518183313,1.7314901969037584e-06,-6
226,blew,872.887323943662,0.000247990544858119,1.2854267231508653e-06,-6
227,cried,1229.1971830985915,0.0003015954879606381,2.4236696271833994e-06,-6
228,deserve,1279.0985915492959,0.0003647662963306102,1.865974792938076e-06,-6
229,clapping,312.4366197183099,7.093179339828293e-05,6.898346875330378e-07,-7
230,compliment,696.3943661971831,0.00017705875145983602,1.2933495969936002e-06,-6
231,chosen,2055.549295774648,0.0007399407353736063,1.0179233916254515e-06,-6
232,barrel,659.0845070422536,0.00023824419156675183,3.13603106353574e-07,-7
233,banquet,431.36619718309856,0.0001653871925800507,8.34040370809442e-08,-8
234,cold,2065.225352112676,0.0006849520507544116,1.7760017368093651e-06,-6
235,buch,3.76056338028169,1.9252055884181964e-06,-5.500413063287105e-09,negative -9
236,correctly,1184.9154929577464,0.0004488737154746302,2.9901351034853664e-07,-7
237,bored,692.2253521126761,0.00024720843008782403,3.6821955965016337e-07,-7
238,couldnt,4.535211267605634,1.3837415166755789e-06,5.451250484387489e-09,-9
239,blinding,376.23943661971833,0.00010811232632460934,5.383218534979602e-07,-7
240,blinked,270.53521126760563,5.6913890207612935e-05,6.553588106176639e-07,-7
241,breaths,308.5774647887324,4.421956585898045e-05,1.0141579471735022e-06,-6
242,boffin,2.380281690140845,6.617894210187551e-07,3.6914923021272e-09,-9
243,chubb,0.4507042253521127,2.4065069855227455e-07,-7.869524458917924e-10,negative -10
244,burrows,77.22535211267606,3.333012174949003e-05,-3.301454688842761e-08,negative -8
245,bolger,0.028169014084507043,1.2032534927613728e-07,-1.4055572278423758e-09,negative -9
246,bracegirdle,0.014084507042253521,1.2032534927613728e-07,-1.4778487281921245e-09,negative -9
247,cure,1069.661971830986,0.0003876281126930763,4.964735393143591e-07,-7
248,comment,1311.1830985915492,0.0005103599689547364,1.5498515419913372e-07,-7
249,behaviour,729.3239436619718,0.0002561726686088963,4.431499245450303e-07,-7
250,believe,2443.507042253521,0.0007755570387593429,2.5503512611108807e-06,-6
251,beside,1489.4084507042253,0.0004851518082813856,1.3945161775043766e-06,-6
252,difficulty,1929.661971830986,0.0007777228950463133,-1.1496207026274825e-07,negative -7
253,deeply,1839.8732394366198,0.0006022885358017052,1.6842840682216555e-06,-6
254,dearly,593.9295774647887,0.00014781969158573466,1.144113007484855e-06,-6
255,discussing,1253.0845070422536,0.0004914688891183828,1.0015473113749674e-07,-7
256,departed,1005.3943661971831,0.0003230134001317906,9.990327259454407e-07,-7
257,drained,602.4929577464789,0.00023680028737543818,4.173754069078698e-08,-8
258,briskly,374.84507042253523,0.00010546516864053432,5.652680799912561e-07,-7
259,din,400.5492957746479,0.0001321773961798368,3.5306893739325133e-07,-7
260,clothes,1653.8732394366198,0.0004877989659654605,2.20456094206047e-06,-6
261,belt,905.5070422535211,0.0003242166536245519,4.7084000317960705e-07,-7
262,battered,498.6901408450704,0.0001582879969727586,5.204156822367126e-07,-7
263,drawer,502.15492957746477,0.00013488471653854992,8.397016657741449e-07,-7
264,colour,845.1830985915493,0.0002833661975453033,6.87488114771599e-07,-7
265,bundle,701.4366197183099,0.0002212181546441784,7.503284902439428e-07,-7
266,cloths,240.35211267605635,0.00010035134129629849,-5.916249713546324e-08,negative -8
267,bulky,306.3943661971831,0.00015203107881039946,-3.859728801542269e-07,negative -7
268,book,2578.7042253521126,0.0008351180866510308,2.476957959839893e-06,-6
269,chain,1587.9014084507041,0.0005187225807294278,1.4675615156869865e-06,-6
270,catch,1759.8169014084508,0.0005116233851221357,2.441409842439987e-06,-6
271,body,2466.1830985915494,0.000834456297230012,1.90794693480273e-06,-6
272,beginning,2409.9154929577467,0.0008601457593004674,1.2881874521117946e-06,-6
273,butter,749.6338028169014,0.0002791548103206385,2.513174843978707e-07,-7
274,bread,1433.112676056338,0.000437322481944121,1.721747791451826e-06,-6
275,cant,228.95774647887325,7.797082633093696e-05,1.706797615903786e-07,-7
276,change,2545.169014084507,0.0008988303590927455,1.4840326464942157e-06,-6
277,curiously,646.7464788732394,0.00024293688018852118,1.8982028313406158e-07,-7
278,closely,2045.2676056338028,0.0008024497543225596,1.5985274764263305e-07,-7
279,does,2602.549295774648,0.0009322808061915117,1.3476092353844517e-06,-6
280,confounded,514.8028169014085,0.00011178224947753155,1.202246356968259e-06,-6
281,bell,1112.605633802817,0.0003464166805659992,1.2478133521563342e-06,-6
282,country,2300.5352112676055,0.0008131587104081359,1.3321014196412479e-06,-6
283,die,2081.845070422535,0.0006768902523529102,1.965165102534376e-06,-6
284,comfortable,1660.1690140845071,0.0004368411805470164,2.8933596295042913e-06,-6
285,behind,2422.5352112676055,0.0007842204639072248,2.331099120635092e-06,-6
286,badgering,35.74647887323944,1.155123353050918e-05,3.466236594764195e-08,-8
287,bothered,575.7605633802817,0.00020359049097522428,3.323669761045214e-07,-7
288,badger,77.40845070422536,3.0382150692224664e-05,5.903678215395104e-09,-9
289,clearer,927.7746478873239,0.0003341434949398332,4.5724629637785463e-07,-7
290,choose,2067.1267605633802,0.0006140804200307667,2.6987936839677444e-06,-6
291,backed,1046.8169014084508,0.00035929149293854597,7.442747495686767e-07,-7
292,breathing,1190.380281690141,0.00031940363965350644,1.995013498395295e-06,-6
293,clutching,365.0,9.355295906219674e-05,6.682002038724272e-07,-7
294,bent,1438.4084507042253,0.00047961684221468323,1.2040551052508636e-06,-6
295,dwindle,108.98591549295774,5.1739900188739035e-05,-1.0716866856665132e-07,negative -7
296,disappear,1209.7042253521126,0.00044093224242240507,5.285558060478587e-07,-7
297,breath,1599.4647887323943,0.00040784277137146735,2.955367058075465e-06,-6
298,bear,2115.478873239437,0.0007382561804837403,1.3472256888132185e-06,-6
299,documents,1122.5492957746478,0.00036945898495237956,1.0019992976374872e-06,-6
300,deliver,1464.6760563380283,0.00038594355780321033,2.5456629213229916e-06,-6
301,clock,1103.9014084507041,0.0003228930747825144,1.5061896196201255e-06,-6
302,chose,1681.7042253521126,0.00048707701386980373,2.3567097881228233e-06,-6
303,different,2582.4225352112676,0.0009330629209618065,1.2342287698991414e-06,-6
304,black,2155.2957746478874,0.0006859748162232587,2.2251296896034022e-06,-6
305,dotted,534.5774647887324,0.0002215791306920068,-1.1075933508515338e-07,negative -7
306,bowing,434.8732394366197,0.00011593347402755827,7.385122545987411e-07,-7
307,care,2445.8732394366198,0.0008073229309682432,2.1532592128345833e-06,-6
308,deal,2268.239436619718,0.0008014269888537124,1.3174756816221093e-06,-6
309,cannot,37.42253521126761,6.377243511635276e-06,1.0992108431656262e-07,-7
310,companions,1004.4084507042254,0.0003183207115100212,1.0544277898340932e-06,-6
311,bottom,2010.5492957746478,0.0006458463122396669,1.999161706727751e-06,-6
312,darkness,1466.7042253521126,0.00041867205280631973,2.134434755209966e-06,-6
313,bed,1882.1267605633802,0.0005744332174442794,2.2600160321783446e-06,-6
314,duty,1873.8450704225352,0.0006402511834983266,1.3695819249602874e-06,-6
315,cleared,1205.9577464788733,0.00044634688313983126,4.395699566704412e-07,-7
316,carriages,438.0422535211268,0.00013789285027045333,4.718772504685429e-07,-7
317,barrows,46.80281690140845,2.0756122750133682e-05,-2.7174533761258725e-08,negative -8
318,clear,2501.2535211267605,0.0008749457772614323,1.5663305837692622e-06,-6
319,chairs,1011.6478873239437,0.00030141499993672393,1.3093803231239957e-06,-6
320,bottles,730.5774647887324,0.0002514799799871269,5.100393369892921e-07,-7
321,boxes,1102.8732394366198,0.0003416638292695918,1.2590904644420615e-06,-6
322,crumbs,263.50704225352115,7.490252992439546e-05,3.875393877761295e-07,-7
323,chiefs,413.22535211267603,0.000186684779401927,-2.840822358214439e-07,negative -7
324,callers,134.49295774647888,4.9273230528578215e-05,5.5529113251851794e-08,-8
325,dora,3.3661971830985915,1.7447175645039905e-06,-5.199364730267255e-09,negative -9
326,correspon,4.323943661971831,1.9853682630562653e-06,-3.383823163568107e-09,negative -9
327,dence,85.45070422535211,3.429272454369913e-05,-3.197432512509457e-09,negative -9
328,basket,839.0422535211268,0.00026218893607270313,9.287937008424789e-07,-7
329,bb,32.32394366197183,1.552197005662171e-05,-3.405909617922872e-08,negative -8
330,convex,153.04225352112675,8.723587822519954e-05,-3.383322228924905e-07,negative -7
331,con,953.6760563380282,0.00046174852784717683,-1.0537333468476147e-06,negative -6
332,collection,2091.6478873239435,0.0006217812423844394,2.7254442114499775e-06,-6
333,borrower,88.26760563380282,6.431389918809538e-05,-3.7549911946375713e-07,negative -7
334,case,2493.957746478873,0.000910682405996445,1.0684919387111593e-06,-6
335,cluttered,150.8732394366197,7.42407405033767e-05,-1.8204996926382912e-07,negative -7
336,custom,1358.605633802817,0.0005084347633663181,4.2319287953341014e-07,-7
337,circulated,562.3943661971831,0.00024407997100664452,-2.5785984463173096e-07,negative -7
338,bottle,1087.0845070422536,0.00035068823046530216,1.0617911754093513e-06,-6
339,creaking,249.25352112676057,7.243586026423465e-05,3.4615826410729237e-07,-7
340,capital,1561.2676056338028,0.0005737112653486226,6.224442040819748e-07,-7
341,bead,313.88732394366195,8.573181135924781e-05,5.066134639584115e-07,-7
342,distributed,1244.5633802816901,0.0005672136964877113,-9.193949004412101e-07,negative -7
343,broke,1712.7323943661972,0.0005348461775324302,1.9005622926621956e-06,-6
344,deals,962.7464788732394,0.00043654036717382603,-6.824232427428531e-07,negative -7
345,commotion,437.3943661971831,0.00011840014368771909,7.196745584762378e-07,-7
346,demanded,1455.6901408450703,0.0005337030867143069,5.959687434504325e-07,-7
347,bowed,836.0140845070423,0.00022807669955291821,1.352715783058904e-06,-6
348,discover,1725.1971830985915,0.0005781633032718396,1.4064897881966497e-06,-6
349,directed,1844.7887323943662,0.0006963227962610064,4.980792132382448e-07,-7
350,carefully,2134.1408450704225,0.0007566057962483513,1.206615541923999e-06,-6
351,correct,1940.7887323943662,0.000730134219407601,5.55228675401865e-07,-7
352,customs,999.5774647887324,0.0004182509140838532,-2.577596545898971e-07,negative -7
353,crushing,618.5915492957746,0.0002270539340840711,2.4992808410244117e-07,-7
354,didnt,0.08450704225352113,1.2032534927613728e-07,-1.1163912264433817e-09,negative -9
355,belong,1743.2112676056338,0.0006116739130452439,1.0672365634950663e-06,-6
356,begun,1832.9718309859154,0.0006578788471672806,9.326964474639335e-07,-7
